ts,lat,lon,sog
2021-12-13 07:01:41,55.243253,14.232808,1.4
2021-12-13 07:01:44,55.24325,14.232788,1.0
2021-12-13 07:01:47,55.243242,14.23276,1.5
2021-12-13 07:01:51,55.243228,14.232702,1.9
2021-12-13 07:01:54,55.243222,14.232653,1.6
2021-12-13 07:01:57,55.243228,14.232702,3.5
2021-12-13 07:02:01,55.243198,14.232845,5.0
2021-12-13 07:02:04,55.243177,14.232955,4.3
2021-12-13 07:02:07,55.243167,14.233038,5.2
2021-12-13 07:02:10,55.243155,14.233152,5.0
2021-12-13 07:02:13,55.243105,14.233285,4.7
2021-12-13 07:02:17,55.243063,14.23341,3.6
2021-12-13 07:02:21,55.243075,14.233505,2.2
2021-12-13 07:02:24,55.243093,14.233542,1.5
2021-12-13 07:02:27,55.243112,14.233555,1.0
2021-12-13 07:02:31,55.24313,14.233557,0.8
2021-12-13 07:02:41,55.243133,14.233535,0.9
2021-12-13 07:02:47,55.243145,14.233553,1.7
2021-12-13 07:02:51,55.243142,14.23359,1.5
2021-12-13 07:02:54,55.24313,14.233612,1.7
2021-12-13 07:02:57,55.243112,14.233657,1.8
2021-12-13 07:03:01,55.243098,14.233695,1.5
2021-12-13 07:03:07,55.243105,14.233702,3.8
2021-12-13 07:03:10,55.24311,14.233635,4.7
2021-12-13 07:03:14,55.243102,14.233482,5.6
2021-12-13 07:03:17,55.243078,14.23335,5.9
2021-12-13 07:03:21,55.24303,14.233102,6.7
2021-12-13 07:03:24,55.243017,14.232997,6.3
2021-12-13 07:03:27,55.242987,14.232852,5.8
2021-12-13 07:03:31,55.24297,14.232613,6.1
2021-12-13 07:03:33,55.242972,14.232515,6.0
2021-12-13 07:03:37,55.242972,14.232283,8.3
2021-12-13 07:03:41,55.242975,14.232042,11.2
2021-12-13 07:03:42,55.242975,14.232042,11.2
2021-12-13 07:03:44,55.242965,14.231763,11.7
2021-12-13 07:03:48,55.242937,14.231382,12.3
2021-12-13 07:03:51,55.242927,14.231078,12.1
2021-12-13 07:03:54,55.242912,14.23077,13.0
2021-12-13 07:03:57,55.242907,14.23044,8.0
2021-12-13 07:04:01,55.242888,14.230258,7.8
2021-12-13 07:04:04,55.242857,14.230088,7.1
2021-12-13 07:04:10,55.242778,14.229777,6.2
2021-12-13 07:04:14,55.242653,14.229628,7.5
2021-12-13 07:04:17,55.242553,14.229615,6.4
2021-12-13 07:04:21,55.242435,14.229647,6.1
2021-12-13 07:04:24,55.242382,14.229658,5.8
2021-12-13 07:04:27,55.24231,14.229668,3.8
2021-12-13 07:04:31,55.242248,14.22972,1.7
2021-12-13 07:04:34,55.24224,14.22974,0.6
2021-12-13 07:04:37,55.242225,14.229753,3.0
2021-12-13 07:04:41,55.242195,14.229705,4.0
2021-12-13 07:04:47,55.242135,14.229572,2.8
2021-12-13 07:04:51,55.242105,14.229533,1.6
2021-12-13 07:04:54,55.242075,14.229528,3.1
2021-12-13 07:04:57,55.24204,14.229515,2.6
2021-12-13 07:05:01,55.242008,14.229502,1.1
2021-12-13 07:05:03,55.242,14.229492,0.6
2021-12-13 07:05:07,55.241998,14.2295,1.5
2021-12-13 07:05:10,55.241998,14.229503,1.0
2021-12-13 07:05:14,55.241988,14.229478,1.5
2021-12-13 07:05:21,55.241928,14.229382,2.8
2021-12-13 07:05:24,55.241905,14.229358,3.1
2021-12-13 07:05:31,55.241803,14.229265,3.3
2021-12-13 07:05:34,55.241783,14.229252,2.2
2021-12-13 07:05:37,55.241753,14.229235,2.1
2021-12-13 07:05:41,55.24172,14.229242,0.8
2021-12-13 07:05:44,55.241707,14.22924,2.6
2021-12-13 07:05:47,55.241693,14.229248,1.6
2021-12-13 07:05:51,55.241677,14.229245,1.5
2021-12-13 07:05:54,55.24166,14.22925,1.6
2021-12-13 07:05:57,55.241643,14.229245,1.0
2021-12-13 07:06:01,55.241628,14.229243,1.6
2021-12-13 07:06:04,55.241613,14.229243,1.7
2021-12-13 07:06:07,55.241597,14.229227,1.0
2021-12-13 07:06:10,55.241585,14.229222,0.6
2021-12-13 07:06:14,55.241573,14.229248,1.8
2021-12-13 07:06:17,55.241588,14.229318,3.7
2021-12-13 07:06:21,55.24164,14.229453,7.7
2021-12-13 07:06:24,55.241702,14.229617,9.5
2021-12-13 07:06:27,55.24184,14.229882,12.6
2021-12-13 07:06:31,55.241987,14.23024,14.6
2021-12-13 07:06:34,55.242068,14.230433,15.6
2021-12-13 07:06:37,55.242195,14.230772,17.9
2021-12-13 07:06:40,55.242365,14.231238,17.0
2021-12-13 07:06:44,55.242465,14.23155,11.7
2021-12-13 07:06:49,55.242527,14.231883,6.6
2021-12-13 07:06:51,55.242545,14.231937,7.1
2021-12-13 07:06:56,55.242635,14.232173,7.3
2021-12-13 07:07:01,55.242743,14.232407,7.8
2021-12-13 07:07:01,55.242743,14.232407,8.6
2021-12-13 07:07:08,55.243032,14.23283,13.7
2021-12-13 07:07:10,55.243123,14.232955,12.3
2021-12-13 07:07:14,55.2433,14.233148,7.9
2021-12-13 07:07:20,55.243482,14.23327,8.6
2021-12-13 07:07:21,55.243523,14.233283,8.1
2021-12-13 07:07:25,55.243663,14.233378,8.2
2021-12-13 07:07:31,55.243893,14.233525,5.9
